,songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Anything Goes,Tony Bennett,spotify:track:3Cq4BUlxDg4ulj7XnN2COP,0.504,0.6,0,-5.666,1,0.0787,0.589,0,0.0801,0.763,154.623,audio_features,3Cq4BUlxDg4ulj7XnN2COP,spotify:track:3Cq4BUlxDg4ulj7XnN2COP,https://api.spotify.com/v1/tracks/3Cq4BUlxDg4ulj7XnN2COP,https://api.spotify.com/v1/audio-analysis/3Cq4BUlxDg4ulj7XnN2COP,123973,4
1,Cheek To Cheek,Tony Bennett,spotify:track:0UuRIovHyU6KeTzY4gS0L2,0.569,0.423,0,-8.453,1,0.0861,0.838,0,0.144,0.514,93.956,audio_features,0UuRIovHyU6KeTzY4gS0L2,spotify:track:0UuRIovHyU6KeTzY4gS0L2,https://api.spotify.com/v1/tracks/0UuRIovHyU6KeTzY4gS0L2,https://api.spotify.com/v1/audio-analysis/0UuRIovHyU6KeTzY4gS0L2,170547,4
2,Don't Wait Too Long,Tony Bennett,spotify:track:1QjDcQh2cpJvf6ii5irzVz,0.299,0.281,0,-12.245,1,0.0305,0.824,0.000173,0.116,0.353,89.904,audio_features,1QjDcQh2cpJvf6ii5irzVz,spotify:track:1QjDcQh2cpJvf6ii5irzVz,https://api.spotify.com/v1/tracks/1QjDcQh2cpJvf6ii5irzVz,https://api.spotify.com/v1/audio-analysis/1QjDcQh2cpJvf6ii5irzVz,156267,4
3,I Can't Give You Anything But Love,Tony Bennett,spotify:track:6rPeI30oZ1yoATa1cDmEFS,0.505,0.522,2,-7.207,1,0.0454,0.563,0.000168,0.311,0.546,126.362,audio_features,6rPeI30oZ1yoATa1cDmEFS,spotify:track:6rPeI30oZ1yoATa1cDmEFS,https://api.spotify.com/v1/tracks/6rPeI30oZ1yoATa1cDmEFS,https://api.spotify.com/v1/audio-analysis/6rPeI30oZ1yoATa1cDmEFS,193307,4
4,Nature Boy,Tony Bennett,spotify:track:7sYJdgkkdcjN1Zr5Rgbpl8,0.294,0.253,10,-11.134,0,0.028,0.949,0.00689,0.0883,0.289,92.385,audio_features,7sYJdgkkdcjN1Zr5Rgbpl8,spotify:track:7sYJdgkkdcjN1Zr5Rgbpl8,https://api.spotify.com/v1/tracks/7sYJdgkkdcjN1Zr5Rgbpl8,https://api.spotify.com/v1/audio-analysis/7sYJdgkkdcjN1Zr5Rgbpl8,248427,4
5,Goody Goody,Tony Bennett,spotify:track:27I0k8fvpCDwY9A0uxqqd0,0.474,0.671,7,-8.264,1,0.187,0.701,0,0.226,0.515,195.656,audio_features,27I0k8fvpCDwY9A0uxqqd0,spotify:track:27I0k8fvpCDwY9A0uxqqd0,https://api.spotify.com/v1/tracks/27I0k8fvpCDwY9A0uxqqd0,https://api.spotify.com/v1/audio-analysis/27I0k8fvpCDwY9A0uxqqd0,131827,4
6,Ev'ry Time We Say Goodbye,Lady Gaga,spotify:track:25tzJjzIw1u2kntCVTJEzC,0.401,0.129,7,-13.324,1,0.0324,0.963,4.93e-06,0.12,0.187,87.503,audio_features,25tzJjzIw1u2kntCVTJEzC,spotify:track:25tzJjzIw1u2kntCVTJEzC,https://api.spotify.com/v1/tracks/25tzJjzIw1u2kntCVTJEzC,https://api.spotify.com/v1/audio-analysis/25tzJjzIw1u2kntCVTJEzC,190293,3
7,Firefly,Tony Bennett,spotify:track:4NCZEnM4tq2MazaFURJxWY,0.561,0.565,1,-6.193,1,0.102,0.585,0,0.0808,0.676,92.222,audio_features,4NCZEnM4tq2MazaFURJxWY,spotify:track:4NCZEnM4tq2MazaFURJxWY,https://api.spotify.com/v1/tracks/4NCZEnM4tq2MazaFURJxWY,https://api.spotify.com/v1/audio-analysis/4NCZEnM4tq2MazaFURJxWY,117640,4
8,I Won't Dance,Tony Bennett,spotify:track:4Sps76IJpIyyZqRTj7HCEi,0.537,0.496,3,-6.75,1,0.0563,0.733,1.8e-06,0.128,0.696,128.707,audio_features,4Sps76IJpIyyZqRTj7HCEi,spotify:track:4Sps76IJpIyyZqRTj7HCEi,https://api.spotify.com/v1/tracks/4Sps76IJpIyyZqRTj7HCEi,https://api.spotify.com/v1/audio-analysis/4Sps76IJpIyyZqRTj7HCEi,236720,4
9,They All Laughed,Tony Bennett,spotify:track:5s44vQBcE1dK8VxRk3VMqr,0.649,0.558,9,-6.947,0,0.0677,0.783,0,0.212,0.928,89.376,audio_features,5s44vQBcE1dK8VxRk3VMqr,spotify:track:5s44vQBcE1dK8VxRk3VMqr,https://api.spotify.com/v1/tracks/5s44vQBcE1dK8VxRk3VMqr,https://api.spotify.com/v1/audio-analysis/5s44vQBcE1dK8VxRk3VMqr,108560,4
