,songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
116,Bella - Remix,Wolfine,spotify:track:1XrsiDIahOAHsu6e0ysNQs,0.917,0.476,3,-6.621,1,0.0656,0.303,0.0,0.103,0.87,93.99,audio_features,1XrsiDIahOAHsu6e0ysNQs,spotify:track:1XrsiDIahOAHsu6e0ysNQs,https://api.spotify.com/v1/tracks/1XrsiDIahOAHsu6e0ysNQs,https://api.spotify.com/v1/audio-analysis/1XrsiDIahOAHsu6e0ysNQs,218360,4
117,Me Dijeron,Ozuna,spotify:track:17UUYZ290omPaJY4wKeyHh,0.8,0.841,5,-2.817,0,0.0524,0.0273,0.0,0.291,0.798,94.023,audio_features,17UUYZ290omPaJY4wKeyHh,spotify:track:17UUYZ290omPaJY4wKeyHh,https://api.spotify.com/v1/tracks/17UUYZ290omPaJY4wKeyHh,https://api.spotify.com/v1/audio-analysis/17UUYZ290omPaJY4wKeyHh,170133,4
118,Odio (feat. Drake),Romeo Santos,spotify:track:1iLv1ieT9BZ3qsti9yTCnG,0.802,0.725,0,-5.965,0,0.0676,0.574,0.0,0.0821,0.598,128.04,audio_features,1iLv1ieT9BZ3qsti9yTCnG,spotify:track:1iLv1ieT9BZ3qsti9yTCnG,https://api.spotify.com/v1/tracks/1iLv1ieT9BZ3qsti9yTCnG,https://api.spotify.com/v1/audio-analysis/1iLv1ieT9BZ3qsti9yTCnG,225000,4
119,"Mujeres (Mozart La Para, Justin Quiles, Farruko, Jowell & Randy) - Remix",Mozart La Para,spotify:track:1AKP5JySgNsr2Y04z1yGHJ,0.81,0.757,1,-5.352,0,0.0599,0.0391,0.000384,0.346,0.72,100.002,audio_features,1AKP5JySgNsr2Y04z1yGHJ,spotify:track:1AKP5JySgNsr2Y04z1yGHJ,https://api.spotify.com/v1/tracks/1AKP5JySgNsr2Y04z1yGHJ,https://api.spotify.com/v1/audio-analysis/1AKP5JySgNsr2Y04z1yGHJ,236200,4
120,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,spotify:track:0JoHqmlqE0W0i9prt6kcHR,0.772,0.547,6,-6.373,0,0.0541,0.0983,4.35e-06,0.107,0.0957,130.099,audio_features,0JoHqmlqE0W0i9prt6kcHR,spotify:track:0JoHqmlqE0W0i9prt6kcHR,https://api.spotify.com/v1/tracks/0JoHqmlqE0W0i9prt6kcHR,https://api.spotify.com/v1/audio-analysis/0JoHqmlqE0W0i9prt6kcHR,278107,4
121,6 AM,J Balvin,spotify:track:3uvypVUsiIr1B0BccIcsEh,0.746,0.746,5,-5.046,0,0.102,0.152,0.0,0.274,0.733,175.965,audio_features,3uvypVUsiIr1B0BccIcsEh,spotify:track:3uvypVUsiIr1B0BccIcsEh,https://api.spotify.com/v1/tracks/3uvypVUsiIr1B0BccIcsEh,https://api.spotify.com/v1/audio-analysis/3uvypVUsiIr1B0BccIcsEh,243227,4
122,Luna - Remix,Brytiago,spotify:track:5WlEWvMF659xiJir32WFlv,0.699,0.694,7,-4.616,0,0.0782,0.0614,3.01e-06,0.634,0.557,171.744,audio_features,5WlEWvMF659xiJir32WFlv,spotify:track:5WlEWvMF659xiJir32WFlv,https://api.spotify.com/v1/tracks/5WlEWvMF659xiJir32WFlv,https://api.spotify.com/v1/audio-analysis/5WlEWvMF659xiJir32WFlv,241942,4
123,Corazon De Seda (feat. Ozuna),Klasico,spotify:track:0uRHot8ml8U8cYVwwzMwNT,0.841,0.694,7,-5.114,0,0.0937,0.0759,0.0,0.102,0.83,90.034,audio_features,0uRHot8ml8U8cYVwwzMwNT,spotify:track:0uRHot8ml8U8cYVwwzMwNT,https://api.spotify.com/v1/tracks/0uRHot8ml8U8cYVwwzMwNT,https://api.spotify.com/v1/audio-analysis/0uRHot8ml8U8cYVwwzMwNT,186976,4
124,"Me Reclama (Remix) [feat. Luigi 21 Plus, Alexio & Pusho]",Ozuna,spotify:track:2siO5Lbu3fjfr58HSX3VbZ,0.764,0.829,9,-3.353,1,0.07,0.11,0.000567,0.0802,0.766,175.984,audio_features,2siO5Lbu3fjfr58HSX3VbZ,spotify:track:2siO5Lbu3fjfr58HSX3VbZ,https://api.spotify.com/v1/tracks/2siO5Lbu3fjfr58HSX3VbZ,https://api.spotify.com/v1/audio-analysis/2siO5Lbu3fjfr58HSX3VbZ,276000,4
125,Tu No Metes Cabra - Remix,Bad Bunny,spotify:track:6ipDE6Y0xrjEeaBTuPfW1K,0.848,0.574,7,-3.195,1,0.271,0.449,0.0,0.073,0.493,91.964,audio_features,6ipDE6Y0xrjEeaBTuPfW1K,spotify:track:6ipDE6Y0xrjEeaBTuPfW1K,https://api.spotify.com/v1/tracks/6ipDE6Y0xrjEeaBTuPfW1K,https://api.spotify.com/v1/audio-analysis/6ipDE6Y0xrjEeaBTuPfW1K,331440,4
