songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Wake Up,A Broken Silence,spotify:track:39ZkoZpmocNi2LphHScfqm,0.379,0.928,11,-5.909,0,0.101,0.000221,0.0,0.34,0.315,179.834,185680,4,2
What Are You Afraid Of?,Emphatic,spotify:track:18c6N34oagyyMcwMpbuRwN,0.382,0.952,1,-3.055,0,0.0676,0.000148,3.76e-06,0.0935,0.474,177.954,171924,4,2
Ocean Bed,Siamese,spotify:track:3f5DLFAWppl2u9ac4eykHQ,0.481,0.78,6,-9.489,0,0.0362,3.25e-05,1.03e-06,0.161,0.481,150.095,233600,4,2
Forlorn Hope,A Burden to Bear,spotify:track:6ytTzwAq9WOHzzfRo6jk8v,0.336,0.917,10,-4.813,0,0.0742,1.27e-05,5.24e-05,0.317,0.211,170.142,230675,4,2
Empty Mirrors,Everyone Loves A Villain,spotify:track:0dPYLa1LCk1VExw5xtiVO6,0.392,0.904,8,-5.25,1,0.123,0.00151,5.42e-05,0.876,0.321,176.104,260662,4,4
Hologram,Crown The Empire,spotify:track:46wngKirMvdfKTFMMcZyU3,0.483,0.908,2,-5.492,0,0.0615,0.000377,0.064,0.0625,0.271,134.622,225853,4,2
20/20,Crown The Empire,spotify:track:1MEBTRzovGtlBfHBsOJJC3,0.319,0.925,8,-4.239,1,0.0708,0.000227,0.00923,0.413,0.492,196.931,241218,4,2
Red Pills,Crown The Empire,spotify:track:0mQUo1kD30iJCGixN6lbXK,0.523,0.96,11,-3.113,0,0.115,0.000105,6.55e-05,0.0931,0.51,93.97,226923,4,1
Loneshark,"Our Hollow, Our Home",spotify:track:2MjJHuYIFlzQrobIEgPBxv,0.363,0.988,10,-3.207,0,0.0922,0.000255,0.0462,0.615,0.0857,89.944,223507,4,4
Wolves in the Dark,Throw The Fight,spotify:track:1kiT87f5XRcGQEglXfnQp2,0.287,0.931,3,-4.892,0,0.0929,1.77e-05,0.0,0.367,0.365,170.418,214765,4,2
First Date,blink-182,spotify:track:1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,171533,4,5
Machinehead - Remastered,Bush,spotify:track:1wrhhPzd2ncJPNgUcGgBGg,0.142,0.92,9,-4.426,1,0.115,2.65e-05,0.00518,0.126,0.193,171.763,256333,3,3
Enemy,A Lethal Smile,spotify:track:1nCz1dNUFaHNh57FB1ofrK,0.256,0.816,6,-6.692,1,0.0477,7.67e-06,0.0176,0.104,0.471,130.023,336190,4,2
Theater of the Dead,Tulip,spotify:track:240XAisNEKriCHKjmqUhOT,0.383,0.965,4,-4.122,0,0.0925,5.36e-05,0.0314,0.397,0.207,173.98,265224,4,2
REAL,From Lambs to Lions,spotify:track:0OMc7xWK6RkmUZqRJ2Eq5S,0.414,0.966,7,-4.547,1,0.24,4.9e-05,0.0,0.109,0.302,155.063,198581,4,2
Demon,Savage Hands,spotify:track:5u2t394YumuXAnHT2lr4Wj,0.562,0.955,3,-4.982,0,0.0733,0.000422,0.000638,0.309,0.781,126.048,199972,4,1
Question Everything,Dreamshade,spotify:track:3zkzOKPb4BlPTMcWT1TrLr,0.454,0.974,0,-4.684,1,0.0882,8.76e-05,0.000581,0.17,0.567,155.094,202383,4,2
STFU,Annisokay,spotify:track:0X6WHH6WvXFTMmwWrsFeob,0.51,0.9,6,-6.278,0,0.05,0.00569,0.0,0.285,0.381,130.067,210406,4,2
Alone,Wolves At The Gate,spotify:track:0zNagEx2rq9UZ4L76gNn0h,0.403,0.972,2,-4.347,1,0.0869,0.000224,1.09e-05,0.284,0.389,163.978,232160,4,2
Dead Man,Wolves At The Gate,spotify:track:6Hi6DD8ka5uOj1rO8u85sR,0.474,0.977,0,-3.527,0,0.0837,0.000137,0.0,0.357,0.44,102.515,246093,4,2
Counterfeit,Wolves At The Gate,spotify:track:02KS93L0i9PxtP17FAfDCN,0.469,0.977,1,-3.535,1,0.0506,1.08e-05,0.0,0.591,0.333,95.009,172733,4,4
Drifter,Wolves At The Gate,spotify:track:0q4ntVRykd6nv149pT1buc,0.471,0.989,6,-3.694,1,0.0717,8.97e-05,0.0,0.101,0.326,94.024,239680,4,2
Roxanne,Fame on Fire,spotify:track:4cMHd2gshJTtOVzcxJB2x6,0.499,0.861,7,-4.299,1,0.0863,0.000746,0.0,0.337,0.507,175.129,163371,4,2
Memory,Dead by April,spotify:track:0DSy16o7Wc01c4ZNzeN0qR,0.375,0.848,7,-4.039,0,0.0637,0.000814,0.000113,0.106,0.398,175.094,211200,4,2
Hero One,My Diligent Future,spotify:track:7pBBMVBvHedafSvy3Y0KjJ,0.478,0.983,11,-3.911,0,0.118,1.73e-05,0.00284,0.219,0.369,140.01,182934,4,2
Falling Apart,Caskets,spotify:track:2Hj1UPk12jRTzyUSSxFX4K,0.322,0.916,5,-5.945,0,0.0748,0.000284,0.0,0.0884,0.359,175.127,273257,4,2
Savior,Any Given Day,spotify:track:0HFMx8md8QDLZuMXpDXltd,0.468,0.973,0,-2.702,0,0.16,3.43e-05,6.16e-05,0.0955,0.103,135.038,240800,4,2
Inferno,Amaranthe,spotify:track:6bXie9wd4w6z9Nr4I9lPne,0.56,0.97,7,-6.071,1,0.106,0.000244,2.06e-05,0.182,0.381,99.992,192652,4,2
My Illusion,Walking Rumor,spotify:track:6Tsk6XDQBeQeHHQJ7gJOrS,0.455,0.935,5,-5.214,0,0.0701,0.000464,0.0,0.563,0.545,164.979,207364,4,4
Crazy,Violent New Breed,spotify:track:285XePm33oZWQUx4XzuBbP,0.459,0.961,1,-2.835,0,0.0695,0.000631,0.0,0.126,0.518,95.98,190938,4,1
Mountain View,Lakeshore,spotify:track:73ALPKLUTGWnDpYMRkpeCw,0.473,0.821,1,-6.62,1,0.0681,0.000232,0.0,0.386,0.368,160.07,205500,4,2
More Than Animals,Awake At Last,spotify:track:3aRrfvkDytwMobevTOMtKc,0.658,0.918,4,-4.855,0,0.0492,7.82e-05,0.0412,0.351,0.588,112.041,177857,4,1
Immortal,Call It Tragedy,spotify:track:0Knzx2DejopkFBhgUYkxsa,0.336,0.962,5,-4.937,1,0.142,3.52e-05,0.0711,0.282,0.321,199.996,246000,4,2
Dead to Me,Anaya,spotify:track:4KcmrSt3u3ZgGfMhNBoorD,0.276,0.969,8,-4.819,1,0.206,8.74e-05,4.55e-05,0.358,0.281,132.998,223534,4,2
I Never Should Have Let You In,Isotopes,spotify:track:5xv4YoVa5rEhDf2cwrES48,0.507,0.954,3,-2.859,0,0.0398,6.57e-06,4.72e-05,0.713,0.53,128.031,258316,4,4
Feel so Empty,Dream on Dreamer,spotify:track:3QhSxccfgEOHG68IE63dgp,0.479,0.939,5,-3.278,0,0.0592,0.0033,0.0,0.119,0.45,91.012,243956,4,1
Breathless - Decent & Snapper & Zephyrway Remix,Decent & Snapper,spotify:track:3CvUJuXV6TApopyJZKZ5Uz,0.307,0.975,1,-3.05,0,0.187,0.000371,0.000185,0.226,0.0802,172.037,273488,4,2
Heaven,Solence,spotify:track:1GxZnEcrRsvk6m7ur6MR4u,0.466,0.787,5,-6.813,0,0.0466,0.00134,0.315,0.518,0.469,82.501,218275,4,4
Vic Park,Earthshatter,spotify:track:3YFDnfpUEXLdi9SqEfYs7x,0.459,0.985,6,-4.265,1,0.174,0.000122,5.62e-06,0.372,0.248,112.989,201750,4,2
Heavy Feather,Aviana,spotify:track:0ky5S8oPb4OOudiKiyeP1V,0.39,0.969,1,-3.477,1,0.0971,1.39e-05,0.00297,0.355,0.139,99.991,270009,4,2
Illusorian,Every Hour Kills,spotify:track:48Et2Hn6F8tNZU8ILsJvyw,0.386,0.984,7,-2.996,1,0.139,7.01e-06,2.31e-05,0.136,0.245,160.045,238500,4,2
No Cure,Capture,spotify:track:7xvOVgO5WdWJZv05cI4dna,0.419,0.949,1,-4.937,0,0.125,0.000322,0.00285,0.822,0.134,143.023,227383,4,4
Silver Linings,I Hate Heroes,spotify:track:31RlB6I7CAMibQOi4htpWa,0.467,0.936,1,-6.135,0,0.059,1.38e-05,0.497,0.119,0.383,139.997,229709,4,7
Knives and Flames,Deep as Ocean,spotify:track:1jMEMv2GnBqdO8VDPxANZo,0.584,0.973,10,-4.575,0,0.112,0.000487,1.52e-06,0.36,0.545,120.001,188500,4,1
Wolfpack,Life Right Now,spotify:track:4f5FmFA3ydOQasaeJgsy9x,0.409,0.987,10,-4.126,0,0.123,8.27e-05,0.0,0.384,0.201,139.954,184312,4,2
