,songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,"O Saki Saki (From ""Batla House"")",Neha Kakkar,spotify:track:4cFwhwH5ydnHgB0Tv3lZsm,0.737,0.961,10,-0.155,0,0.0747,0.163,0,0.361,0.567,108.014,audio_features,4cFwhwH5ydnHgB0Tv3lZsm,spotify:track:4cFwhwH5ydnHgB0Tv3lZsm,https://api.spotify.com/v1/tracks/4cFwhwH5ydnHgB0Tv3lZsm,https://api.spotify.com/v1/audio-analysis/4cFwhwH5ydnHgB0Tv3lZsm,191089,4
1,"Dilbar (From ""Satyameva Jayate"")",Neha Kakkar,spotify:track:4tjLYTXFqZhkUDga4bQ0yl,0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,audio_features,4tjLYTXFqZhkUDga4bQ0yl,spotify:track:4tjLYTXFqZhkUDga4bQ0yl,https://api.spotify.com/v1/tracks/4tjLYTXFqZhkUDga4bQ0yl,https://api.spotify.com/v1/audio-analysis/4tjLYTXFqZhkUDga4bQ0yl,184433,4
2,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,spotify:track:1feANd8EfcDP5UqSvbheM3,0.308,0.585,9,-5.18,0,0.0428,0.45,0,0.319,0.345,171.843,audio_features,1feANd8EfcDP5UqSvbheM3,spotify:track:1feANd8EfcDP5UqSvbheM3,https://api.spotify.com/v1/tracks/1feANd8EfcDP5UqSvbheM3,https://api.spotify.com/v1/audio-analysis/1feANd8EfcDP5UqSvbheM3,371791,3
3,"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,spotify:track:352wEkChkiClswqwDoM0nj,0.722,0.867,0,-3.652,0,0.0904,0.121,0.0052,0.123,0.893,102.009,audio_features,352wEkChkiClswqwDoM0nj,spotify:track:352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/tracks/352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/audio-analysis/352wEkChkiClswqwDoM0nj,179225,4
4,"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,spotify:track:5x72Q1SyiDHJ4IF2mRzfkg,0.789,0.95,5,-3.604,0,0.0759,0.191,1.41e-05,0.0969,0.746,126.013,audio_features,5x72Q1SyiDHJ4IF2mRzfkg,spotify:track:5x72Q1SyiDHJ4IF2mRzfkg,https://api.spotify.com/v1/tracks/5x72Q1SyiDHJ4IF2mRzfkg,https://api.spotify.com/v1/audio-analysis/5x72Q1SyiDHJ4IF2mRzfkg,174711,4
5,"Cheez Badi (From ""Machine"")",Udit Narayan,spotify:track:7df5pgsDbsRcnYh0fVTe3c,0.704,0.772,1,-4.353,1,0.0436,0.153,0.00123,0.147,0.778,97.008,audio_features,7df5pgsDbsRcnYh0fVTe3c,spotify:track:7df5pgsDbsRcnYh0fVTe3c,https://api.spotify.com/v1/tracks/7df5pgsDbsRcnYh0fVTe3c,https://api.spotify.com/v1/audio-analysis/7df5pgsDbsRcnYh0fVTe3c,222520,4
6,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,spotify:track:60XrRbNjDMAGUZ2xLkU9W3,0.705,0.982,1,-3.376,1,0.0788,0.0212,3.18e-05,0.337,0.571,94.99,audio_features,60XrRbNjDMAGUZ2xLkU9W3,spotify:track:60XrRbNjDMAGUZ2xLkU9W3,https://api.spotify.com/v1/tracks/60XrRbNjDMAGUZ2xLkU9W3,https://api.spotify.com/v1/audio-analysis/60XrRbNjDMAGUZ2xLkU9W3,209393,4
7,The Hook Up Song,Vishal-Shekhar,spotify:track:1bLNqR3bqpyWkwWKECjVrw,0.846,0.786,1,-4.607,1,0.0519,0.131,0.000384,0.0835,0.523,106.023,audio_features,1bLNqR3bqpyWkwWKECjVrw,spotify:track:1bLNqR3bqpyWkwWKECjVrw,https://api.spotify.com/v1/tracks/1bLNqR3bqpyWkwWKECjVrw,https://api.spotify.com/v1/audio-analysis/1bLNqR3bqpyWkwWKECjVrw,213947,4
8,The Jawaani Song,Vishal-Shekhar,spotify:track:3IzQc4KEAFd8lIc90X7FZr,0.71,0.801,7,-4.845,1,0.0896,0.0728,0,0.0744,0.845,145.102,audio_features,3IzQc4KEAFd8lIc90X7FZr,spotify:track:3IzQc4KEAFd8lIc90X7FZr,https://api.spotify.com/v1/tracks/3IzQc4KEAFd8lIc90X7FZr,https://api.spotify.com/v1/audio-analysis/3IzQc4KEAFd8lIc90X7FZr,253161,4
9,The Disco Song,Vishal-Shekhar,spotify:track:3UaP2PQwhA31keZXt7oPLA,0.69,0.939,10,-6.441,0,0.0583,0.0102,0.0288,0.12,0.615,125.006,audio_features,3UaP2PQwhA31keZXt7oPLA,spotify:track:3UaP2PQwhA31keZXt7oPLA,https://api.spotify.com/v1/tracks/3UaP2PQwhA31keZXt7oPLA,https://api.spotify.com/v1/audio-analysis/3UaP2PQwhA31keZXt7oPLA,342093,4
10,Paagal,Badshah,spotify:track:4gyPGtExOjj1rsByKW33LR,0.687,0.854,11,-5.368,0,0.308,0.0619,0.000645,0.147,0.721,214.016,audio_features,4gyPGtExOjj1rsByKW33LR,spotify:track:4gyPGtExOjj1rsByKW33LR,https://api.spotify.com/v1/tracks/4gyPGtExOjj1rsByKW33LR,https://api.spotify.com/v1/audio-analysis/4gyPGtExOjj1rsByKW33LR,169907,4
11,Main Tera Boyfriend,Pritam,spotify:track:3InIAYQyi22mfV4g1T9Jkc,0.841,0.914,11,-3.917,0,0.0613,0.0958,0,0.115,0.651,104.014,audio_features,3InIAYQyi22mfV4g1T9Jkc,spotify:track:3InIAYQyi22mfV4g1T9Jkc,https://api.spotify.com/v1/tracks/3InIAYQyi22mfV4g1T9Jkc,https://api.spotify.com/v1/audio-analysis/3InIAYQyi22mfV4g1T9Jkc,276153,4
12,Kala Chashma,Amar Arshi,spotify:track:5CSEaABQkS1hoLza0IpK2r,0.801,0.856,0,-4.233,1,0.065,0.0984,6.62e-05,0.228,0.919,106.026,audio_features,5CSEaABQkS1hoLza0IpK2r,spotify:track:5CSEaABQkS1hoLza0IpK2r,https://api.spotify.com/v1/tracks/5CSEaABQkS1hoLza0IpK2r,https://api.spotify.com/v1/audio-analysis/5CSEaABQkS1hoLza0IpK2r,187006,4
13,Saara India,Aastha Gill,spotify:track:46GBoFCdFZZSjuGaZjZmGv,0.919,0.571,5,-7.175,0,0.0687,0.00323,0.00168,0.103,0.231,105.007,audio_features,46GBoFCdFZZSjuGaZjZmGv,spotify:track:46GBoFCdFZZSjuGaZjZmGv,https://api.spotify.com/v1/tracks/46GBoFCdFZZSjuGaZjZmGv,https://api.spotify.com/v1/audio-analysis/46GBoFCdFZZSjuGaZjZmGv,162286,4
14,Aa Toh Sahi,Meet Bros.,spotify:track:1f3GOFy8WQ3ab4GP7c26QR,0.737,0.843,8,-3.309,1,0.0591,0.0679,0,0.139,0.679,97.058,audio_features,1f3GOFy8WQ3ab4GP7c26QR,spotify:track:1f3GOFy8WQ3ab4GP7c26QR,https://api.spotify.com/v1/tracks/1f3GOFy8WQ3ab4GP7c26QR,https://api.spotify.com/v1/audio-analysis/1f3GOFy8WQ3ab4GP7c26QR,221277,4
15,La La La,Neha Kakkar,spotify:track:7oDykOViQGiV9M3enF7u4Y,0.774,0.781,10,-4.426,1,0.104,0.341,0,0.111,0.469,100.017,audio_features,7oDykOViQGiV9M3enF7u4Y,spotify:track:7oDykOViQGiV9M3enF7u4Y,https://api.spotify.com/v1/tracks/7oDykOViQGiV9M3enF7u4Y,https://api.spotify.com/v1/audio-analysis/7oDykOViQGiV9M3enF7u4Y,192000,4
16,"Slow Motion (From ""Bharat"")",Shreya Ghoshal,spotify:track:7yEuRloGyxyu1KaWBTPP1Z,0.574,0.738,10,-5.526,1,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,audio_features,7yEuRloGyxyu1KaWBTPP1Z,spotify:track:7yEuRloGyxyu1KaWBTPP1Z,https://api.spotify.com/v1/tracks/7yEuRloGyxyu1KaWBTPP1Z,https://api.spotify.com/v1/audio-analysis/7yEuRloGyxyu1KaWBTPP1Z,247248,4
17,Slowly Slowly,Guru Randhawa,spotify:track:4pBxb7WuLsC3YyA9cj4T2l,0.772,0.752,5,-5.169,1,0.0798,0.0858,0,0.728,0.455,101.027,audio_features,4pBxb7WuLsC3YyA9cj4T2l,spotify:track:4pBxb7WuLsC3YyA9cj4T2l,https://api.spotify.com/v1/tracks/4pBxb7WuLsC3YyA9cj4T2l,https://api.spotify.com/v1/audio-analysis/4pBxb7WuLsC3YyA9cj4T2l,204952,4
18,First Class,Pritam,spotify:track:7s0qlp1ibUxVXLsOM0YWia,0.534,0.959,1,-3.67,0,0.361,0.449,0,0.354,0.751,187.576,audio_features,7s0qlp1ibUxVXLsOM0YWia,spotify:track:7s0qlp1ibUxVXLsOM0YWia,https://api.spotify.com/v1/tracks/7s0qlp1ibUxVXLsOM0YWia,https://api.spotify.com/v1/audio-analysis/7s0qlp1ibUxVXLsOM0YWia,276960,3
19,Bom Diggy Diggy,Zack Knight,spotify:track:6qCNaRRr5xJALfNJvh0NAw,0.782,0.827,11,-4.219,0,0.0627,0.159,0,0.226,0.498,104.032,audio_features,6qCNaRRr5xJALfNJvh0NAw,spotify:track:6qCNaRRr5xJALfNJvh0NAw,https://api.spotify.com/v1/tracks/6qCNaRRr5xJALfNJvh0NAw,https://api.spotify.com/v1/audio-analysis/6qCNaRRr5xJALfNJvh0NAw,238530,4
20,"Photo (From ""Luka Chuppi"")",Karan Sehmbi,spotify:track:5wdlz4N7s1Xyr4y4RXhZJM,0.739,0.644,0,-5.881,0,0.0503,0.103,0,0.189,0.315,94.996,audio_features,5wdlz4N7s1Xyr4y4RXhZJM,spotify:track:5wdlz4N7s1Xyr4y4RXhZJM,https://api.spotify.com/v1/tracks/5wdlz4N7s1Xyr4y4RXhZJM,https://api.spotify.com/v1/audio-analysis/5wdlz4N7s1Xyr4y4RXhZJM,177159,4
21,The Wakhra Song,Navv Inder,spotify:track:6N6mJlsjYRV0yoMSPS5JiQ,0.788,0.894,5,-2.661,0,0.198,0.339,0.000253,0.0649,0.588,89.945,audio_features,6N6mJlsjYRV0yoMSPS5JiQ,spotify:track:6N6mJlsjYRV0yoMSPS5JiQ,https://api.spotify.com/v1/tracks/6N6mJlsjYRV0yoMSPS5JiQ,https://api.spotify.com/v1/audio-analysis/6N6mJlsjYRV0yoMSPS5JiQ,196000,4
22,Let's Nacho,Nucleya,spotify:track:4mQpBIJKBpd8lcrtZ73SP8,0.742,0.947,0,-3.749,1,0.0321,0.0906,0.0221,0.0721,0.88,130.043,audio_features,4mQpBIJKBpd8lcrtZ73SP8,spotify:track:4mQpBIJKBpd8lcrtZ73SP8,https://api.spotify.com/v1/tracks/4mQpBIJKBpd8lcrtZ73SP8,https://api.spotify.com/v1/audio-analysis/4mQpBIJKBpd8lcrtZ73SP8,215076,4
23,Raabta (Title Track),Pritam,spotify:track:0yInnVUPqOxW9mFZ440hSi,0.636,0.701,5,-6.825,1,0.0363,0.414,0,0.106,0.352,113.886,audio_features,0yInnVUPqOxW9mFZ440hSi,spotify:track:0yInnVUPqOxW9mFZ440hSi,https://api.spotify.com/v1/tracks/0yInnVUPqOxW9mFZ440hSi,https://api.spotify.com/v1/audio-analysis/0yInnVUPqOxW9mFZ440hSi,297158,4
