,songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Erase These Memories,Add1ction,spotify:track:5XquOZG9ITYSqNf3UUEf40,0.449,0.929,8,-3.031,1,0.038,0.000327,0.00292,0.391,0.309,95.062,audio_features,5XquOZG9ITYSqNf3UUEf40,spotify:track:5XquOZG9ITYSqNf3UUEf40,https://api.spotify.com/v1/tracks/5XquOZG9ITYSqNf3UUEf40,https://api.spotify.com/v1/audio-analysis/5XquOZG9ITYSqNf3UUEf40,218629,4
1,Photographs,Dreamshade,spotify:track:1VIhaSQtShquo4ilmsXC84,0.386,0.963,9,-4.31,1,0.105,9.88e-05,1.15e-05,0.161,0.285,150.105,audio_features,1VIhaSQtShquo4ilmsXC84,spotify:track:1VIhaSQtShquo4ilmsXC84,https://api.spotify.com/v1/tracks/1VIhaSQtShquo4ilmsXC84,https://api.spotify.com/v1/audio-analysis/1VIhaSQtShquo4ilmsXC84,241147,4
2,Anguish,Seraphim,spotify:track:3f6ufkzt6Pk32n84usxJeb,0.427,0.96,8,-3.346,1,0.0749,2.28e-05,0.0413,0.229,0.361,93.926,audio_features,3f6ufkzt6Pk32n84usxJeb,spotify:track:3f6ufkzt6Pk32n84usxJeb,https://api.spotify.com/v1/tracks/3f6ufkzt6Pk32n84usxJeb,https://api.spotify.com/v1/audio-analysis/3f6ufkzt6Pk32n84usxJeb,274468,4
3,Plagues,Kill The Lights,spotify:track:1Ck3yRZCgPy91NHk4bNBXc,0.432,0.982,6,-4.86,0,0.0686,6.46e-05,3.98e-05,0.0441,0.196,86.998,audio_features,1Ck3yRZCgPy91NHk4bNBXc,spotify:track:1Ck3yRZCgPy91NHk4bNBXc,https://api.spotify.com/v1/tracks/1Ck3yRZCgPy91NHk4bNBXc,https://api.spotify.com/v1/audio-analysis/1Ck3yRZCgPy91NHk4bNBXc,259680,4
4,Fuck You,Violent Idols,spotify:track:3nRwCHHRjb1GIa3OWvOP9o,0.524,0.982,2,-3.57,1,0.138,0.00812,0.0,0.37,0.305,89.961,audio_features,3nRwCHHRjb1GIa3OWvOP9o,spotify:track:3nRwCHHRjb1GIa3OWvOP9o,https://api.spotify.com/v1/tracks/3nRwCHHRjb1GIa3OWvOP9o,https://api.spotify.com/v1/audio-analysis/3nRwCHHRjb1GIa3OWvOP9o,188250,4
5,Amnesia,Agonize The Serpent,spotify:track:1OYFCOeQw1bspVdP45wmZl,0.444,0.998,1,-3.998,0,0.187,5.27e-06,0.0333,0.421,0.0811,115.017,audio_features,1OYFCOeQw1bspVdP45wmZl,spotify:track:1OYFCOeQw1bspVdP45wmZl,https://api.spotify.com/v1/tracks/1OYFCOeQw1bspVdP45wmZl,https://api.spotify.com/v1/audio-analysis/1OYFCOeQw1bspVdP45wmZl,204082,4
6,This Is the End,Dust in Mind,spotify:track:1EjkGol5hmZXC0ac5SI62l,0.486,0.966,9,-3.88,0,0.091,1.52e-05,0.0265,0.107,0.3,139.983,audio_features,1EjkGol5hmZXC0ac5SI62l,spotify:track:1EjkGol5hmZXC0ac5SI62l,https://api.spotify.com/v1/tracks/1EjkGol5hmZXC0ac5SI62l,https://api.spotify.com/v1/audio-analysis/1EjkGol5hmZXC0ac5SI62l,261000,4
7,Entertain You,Within Temptation,spotify:track:2yiDAvEEqGrkKZpNYCJ5Wm,0.562,0.88,1,-4.353,0,0.0396,0.000469,2.06e-06,0.222,0.599,137.117,audio_features,2yiDAvEEqGrkKZpNYCJ5Wm,spotify:track:2yiDAvEEqGrkKZpNYCJ5Wm,https://api.spotify.com/v1/tracks/2yiDAvEEqGrkKZpNYCJ5Wm,https://api.spotify.com/v1/audio-analysis/2yiDAvEEqGrkKZpNYCJ5Wm,211045,4
8,It's So Easy,Stitched Up Heart,spotify:track:1cflhl2uFQR9RLCiwHXhev,0.496,0.894,6,-2.691,0,0.0514,5.09e-06,1.32e-06,0.075,0.451,143.922,audio_features,1cflhl2uFQR9RLCiwHXhev,spotify:track:1cflhl2uFQR9RLCiwHXhev,https://api.spotify.com/v1/tracks/1cflhl2uFQR9RLCiwHXhev,https://api.spotify.com/v1/audio-analysis/1cflhl2uFQR9RLCiwHXhev,195840,4
9,Darkness,Stitched Up Heart,spotify:track:5HrO53xPC6lc3Uk3MnTw3U,0.428,0.933,8,-4.107,1,0.0844,0.000506,0.0,0.152,0.178,95.02,audio_features,5HrO53xPC6lc3Uk3MnTw3U,spotify:track:5HrO53xPC6lc3Uk3MnTw3U,https://api.spotify.com/v1/tracks/5HrO53xPC6lc3Uk3MnTw3U,https://api.spotify.com/v1/audio-analysis/5HrO53xPC6lc3Uk3MnTw3U,212200,4
