,songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Tubthumping,Chumbawamba,spotify:track:22HYEJveCvykVDHDiEEmjZ,0.348,0.88,2,-7.366,1,0.0978,0.128,0,0.357,0.606,101.185,audio_features,22HYEJveCvykVDHDiEEmjZ,spotify:track:22HYEJveCvykVDHDiEEmjZ,https://api.spotify.com/v1/tracks/22HYEJveCvykVDHDiEEmjZ,https://api.spotify.com/v1/audio-analysis/22HYEJveCvykVDHDiEEmjZ,278779,4
1,Bitch,Meredith Brooks,spotify:track:3i6qNxyVgIdUZTTi5m25EM,0.617,0.886,9,-5.953,1,0.055,0.0112,9.63e-05,0.0523,0.629,96.328,audio_features,3i6qNxyVgIdUZTTi5m25EM,spotify:track:3i6qNxyVgIdUZTTi5m25EM,https://api.spotify.com/v1/tracks/3i6qNxyVgIdUZTTi5m25EM,https://api.spotify.com/v1/audio-analysis/3i6qNxyVgIdUZTTi5m25EM,252760,4
2,Alone,Bee Gees,spotify:track:7GsoUeI9DtaTSjJHenyCNP,0.639,0.792,2,-5.084,1,0.0301,0.0912,0.000194,0.303,0.748,110.016,audio_features,7GsoUeI9DtaTSjJHenyCNP,spotify:track:7GsoUeI9DtaTSjJHenyCNP,https://api.spotify.com/v1/tracks/7GsoUeI9DtaTSjJHenyCNP,https://api.spotify.com/v1/audio-analysis/7GsoUeI9DtaTSjJHenyCNP,290067,4
3,Lovefool,The Cardigans,spotify:track:7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,audio_features,7aQjPecQdIuNd1sz3KCDhD,spotify:track:7aQjPecQdIuNd1sz3KCDhD,https://api.spotify.com/v1/tracks/7aQjPecQdIuNd1sz3KCDhD,https://api.spotify.com/v1/audio-analysis/7aQjPecQdIuNd1sz3KCDhD,193953,4
4,Got 'Til It's Gone,Janet Jackson,spotify:track:5XG22f476YEjRq7pPcvrJG,0.811,0.434,7,-7.321,1,0.284,0.0149,7.5e-05,0.139,0.548,89.912,audio_features,5XG22f476YEjRq7pPcvrJG,spotify:track:5XG22f476YEjRq7pPcvrJG,https://api.spotify.com/v1/tracks/5XG22f476YEjRq7pPcvrJG,https://api.spotify.com/v1/audio-analysis/5XG22f476YEjRq7pPcvrJG,220333,4
5,I Shot The Sheriff,Warren G,spotify:track:52MJZwo0UGqgFitqv8YFVK,0.859,0.691,10,-9.224,0,0.209,0.0278,1.96e-05,0.198,0.78,91.454,audio_features,52MJZwo0UGqgFitqv8YFVK,spotify:track:52MJZwo0UGqgFitqv8YFVK,https://api.spotify.com/v1/tracks/52MJZwo0UGqgFitqv8YFVK,https://api.spotify.com/v1/audio-analysis/52MJZwo0UGqgFitqv8YFVK,246733,4
6,Bitter Sweet Symphony,The Verve,spotify:track:57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,audio_features,57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,357267,4
7,I Wanna Be the Only One (feat. Bebe Winans),Eternal,spotify:track:5CNtRWCtAfWivjpjr8QdR2,0.627,0.768,6,-7.775,1,0.0625,0.468,0,0.126,0.802,100.071,audio_features,5CNtRWCtAfWivjpjr8QdR2,spotify:track:5CNtRWCtAfWivjpjr8QdR2,https://api.spotify.com/v1/tracks/5CNtRWCtAfWivjpjr8QdR2,https://api.spotify.com/v1/audio-analysis/5CNtRWCtAfWivjpjr8QdR2,216693,4
8,MMMBop,Hanson,spotify:track:0lnxrQAd9ZxbhBBe7d8FO8,0.683,0.937,9,-6.335,1,0.0449,0.00481,0.0046,0.07,0.619,104.872,audio_features,0lnxrQAd9ZxbhBBe7d8FO8,spotify:track:0lnxrQAd9ZxbhBBe7d8FO8,https://api.spotify.com/v1/tracks/0lnxrQAd9ZxbhBBe7d8FO8,https://api.spotify.com/v1/audio-analysis/0lnxrQAd9ZxbhBBe7d8FO8,268653,4
9,Who Do You Think You Are,Spice Girls,spotify:track:1jI1aLmm5HTwiMtvsbwDJw,0.727,0.83,6,-6.658,0,0.0376,0.0226,0.00356,0.73,0.899,118.002,audio_features,1jI1aLmm5HTwiMtvsbwDJw,spotify:track:1jI1aLmm5HTwiMtvsbwDJw,https://api.spotify.com/v1/tracks/1jI1aLmm5HTwiMtvsbwDJw,https://api.spotify.com/v1/audio-analysis/1jI1aLmm5HTwiMtvsbwDJw,240707,4
10,Song 2,Blur,spotify:track:3GfOAdcoc3X5GPiiXmpBjK,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.699,audio_features,3GfOAdcoc3X5GPiiXmpBjK,spotify:track:3GfOAdcoc3X5GPiiXmpBjK,https://api.spotify.com/v1/tracks/3GfOAdcoc3X5GPiiXmpBjK,https://api.spotify.com/v1/audio-analysis/3GfOAdcoc3X5GPiiXmpBjK,121880,4
